batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target_score,striker_rating,bowler_rating,result
Punjab Kings,Rajasthan Royals,Mohali,6,0,2,156,57.60461666666667,1.4496487206164133,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,23,23,9,142,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,65,9,3,178,57.60461666666667,1.4496487206164133,0
Kolkata Knight Riders,Kings XI Punjab,Bangalore,13,4,4,200,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Mumbai Indians,Chennai,76,74,9,141,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,63,17,5,218,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Kings XI Punjab,Jaipur,78,77,10,154,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Pune Warriors,Mumbai,6,3,3,102,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Pune Warriors,Pune,79,102,9,101,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,35,21,5,145,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Royal Challengers Bangalore,Delhi,27,4,4,180,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,93,74,9,150,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Gujarat Lions,Delhi,67,36,5,163,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,86,60,9,174,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,7,0,6,184,53.52351834375001,1.4496487206164133,1
Royal Challengers Bangalore,Chennai Super Kings,Mumbai,109,57,5,192,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Rajasthan Royals,Jaipur,127,113,9,128,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Kings XI Punjab,Chandigarh,120,100,8,147,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Mumbai Indians,Kolkata,74,46,9,162,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Rajasthan Royals,Guwahati,129,99,8,143,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,15,87,7,84,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,62,61,7,148,15.236554524980507,1.4496487206164133,1
Punjab Kings,Royal Challengers Bengaluru,Ahmedabad,133,84,9,185,15.236554524980507,1.0055304172951232,1
Chennai Super Kings,Pune Warriors,Mumbai,127,88,9,146,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,54,28,4,170,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Kings XI Punjab,Dharamsala,32,37,8,146,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Delhi Daredevils,Delhi,36,16,6,189,57.97507364814815,1.4496487206164133,1
Delhi Daredevils,Kings XI Punjab,Dharamsala,160,107,10,165,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Delhi Capitals,Ahmedabad,70,42,6,131,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Mumbai Indians,Visakhapatnam,4,10,1,127,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Chennai Super Kings,Mumbai,61,68,9,134,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Pune Warriors,Chennai,91,77,7,136,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,60,20,5,185,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,137,114,10,139,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,34,22,4,151,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,96,59,10,159,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,8,81,10,69,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Deccan Chargers,Hyderabad,160,103,9,188,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,7,12,9,142,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Mumbai Indians,Visakhapatnam,123,111,9,128,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Deccan Chargers,Delhi,145,115,10,146,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Punjab Kings,Mumbai,88,70,6,142,15.236554524980507,1.4496487206164133,1
Royal Challengers Bengaluru,Sunrisers Hyderabad,Bengaluru,138,54,5,263,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Delhi Daredevils,Jaipur,5,13,9,155,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Delhi Capitals,Sharjah,59,54,10,136,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,136,95,6,146,15.236554524980507,1.4496487206164133,1
Kochi Tuskers Kerala,Chennai Super Kings,Chennai,148,112,10,153,15.236554524980507,1.4496487206164133,0
Kochi Tuskers Kerala,Delhi Daredevils,Delhi,113,102,10,141,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Chennai Super Kings,Chennai,116,43,6,223,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,35,6,5,200,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,74,40,8,188,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Mumbai Indians,Mumbai,80,119,10,80,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,178,102,9,202,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,119,48,7,243,43.148637,1.4496487206164133,1
Gujarat Titans,Chennai Super Kings,Mumbai,55,60,9,134,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Rising Pune Supergiants,Pune,84,54,7,163,15.236554524980507,1.4496487206164133,1
Rising Pune Supergiants,Delhi Daredevils,Delhi,36,13,8,163,57.97507364814815,1.4496487206164133,1
Delhi Daredevils,Rajasthan Royals,Ahmedabad,9,0,1,140,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Deccan Chargers,Hyderabad,95,73,9,149,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Gujarat Lions,Hyderabad,88,81,8,127,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Mumbai,6,30,7,94,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Delhi Daredevils,Delhi,4,0,8,153,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Chennai Super Kings,Mumbai,123,82,9,174,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Mumbai Indians,Mumbai,77,58,10,173,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Delhi Daredevils,Delhi,70,75,9,115,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Kings XI Punjab,Mumbai,100,75,7,203,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Mumbai Indians,Navi Mumbai,134,99,8,157,15.236554524980507,1.4496487206164133,1
Pune Warriors,Rajasthan Royals,Jaipur,7,1,1,126,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Mumbai Indians,Mumbai,52,34,8,169,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Kolkata Knight Riders,Indore,75,34,5,215,15.236554524980507,1.238475299298197,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,120,79,9,166,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Mumbai Indians,Mumbai,143,58,6,213,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Mumbai Indians,Mumbai,29,53,8,94,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Delhi,129,88,8,180,15.236554524980507,1.4496487206164133,1
Pune Warriors,Kolkata Knight Riders,Kolkata,61,30,5,151,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Mumbai Indians,Mumbai,93,60,9,188,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Pune Warriors,Mumbai,50,39,8,139,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Rajasthan Royals,Ranchi,72,55,7,150,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Punjab Kings,Mohali,1,33,2,96,15.236554524980507,1.0894941634241244,0
Rajasthan Royals,Sunrisers Hyderabad,Chennai,31,22,4,140,15.236554524980507,1.263823064770932,1
Royal Challengers Bangalore,Delhi Daredevils,Delhi,104,57,7,192,15.236554524980507,1.4496487206164133,1
Pune Warriors,Chennai Super Kings,Chennai,116,85,8,165,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rising Pune Supergiant,Indore,134,97,9,165,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Gujarat Titans,Mumbai,34,22,8,163,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,81,58,9,143,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kings XI Punjab,Durban,117,113,9,120,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Chennai Super Kings,Ahmedabad,47,27,7,179,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Punjab Kings,Guwahati,118,63,7,198,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Deccan Chargers,Hyderabad,130,94,10,165,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,133,114,10,139,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,35,24,4,151,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Deccan Chargers,Delhi,163,112,10,169,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,138,96,10,170,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,116,85,10,141,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Chennai Super Kings,Chandigarh,45,37,7,171,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,148,88,8,194,15.236554524980507,1.4496487206164133,1
Punjab Kings,Chennai Super Kings,Dharamsala,57,19,2,168,9.416210204081631,1.4496487206164133,1
Rajasthan Royals,Chennai Super Kings,Delhi,122,77,9,188,15.236554524980507,1.2340600575894694,1
Chennai Super Kings,Mumbai Indians,Chennai,64,60,8,159,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Delhi Capitals,Chennai,71,37,5,159,57.97507364814815,1.4496487206164133,0
Delhi Daredevils,Mumbai Indians,Mumbai,29,16,4,129,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Rajasthan Royals,Jaipur,97,53,8,194,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Kolkata Knight Riders,Abu Dhabi,61,46,10,163,55.704666833333334,1.4496487206164133,0
Kolkata Knight Riders,Pune Warriors,Mumbai,119,119,10,120,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Deccan Chargers,Hyderabad,96,74,9,149,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Sunrisers Hyderabad,Mumbai,161,92,8,195,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Delhi Daredevils,Jaipur,137,102,10,155,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Chennai Super Kings,Dubai,49,46,7,137,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,37,22,5,168,55.704666833333334,1.4496487206164133,1
Kolkata Knight Riders,Delhi Daredevils,Kolkata,36,41,8,129,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,36,42,10,184,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Chennai Super Kings,Delhi,92,30,3,170,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Mumbai Indians,Delhi,124,85,8,180,15.236554524980507,1.4496487206164133,1
Rising Pune Supergiants,Kings XI Punjab,Visakhapatnam,94,48,7,173,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Kolkata Knight Riders,Kolkata,6,0,2,168,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Kolkata Knight Riders,Chennai,40,10,6,188,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Delhi,61,37,6,180,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Kolkata Knight Riders,Sharjah,139,75,6,172,15.236554524980507,1.5980823012385137,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,141,81,10,181,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Sunrisers Hyderabad,Abu Dhabi,42,30,7,146,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Royal Challengers Bangalore,Delhi,167,106,10,188,15.236554524980507,1.4496487206164133,0
Deccan Chargers,Kings XI Punjab,Johannesburg,133,118,10,134,15.236554524980507,1.4496487206164133,1
Pune Warriors,Sunrisers Hyderabad,Hyderabad,63,68,9,105,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Lucknow Super Giants,Mumbai,156,88,9,200,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,90,95,9,115,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Royal Challengers Bangalore,Durban,131,82,10,174,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Rajasthan Royals,Jaipur,56,64,9,145,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Kings XI Punjab,Mumbai,117,77,9,190,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Royal Challengers Bengaluru,Bengaluru,161,100,10,195,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Mumbai Indians,Abu Dhabi,141,70,8,236,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Lucknow Super Giants,Mumbai,13,0,2,170,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Mumbai Indians,Mumbai,119,79,9,184,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,212,93,8,236,15.236554524980507,1.0522623640827782,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,39,42,8,186,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Kings XI Punjab,Bangalore,93,50,8,200,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Sunrisers Hyderabad,Hyderabad,137,95,8,154,12.251519999999998,1.4496487206164133,1
Kings XI Punjab,Rising Pune Supergiant,Indore,96,61,8,165,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Lucknow Super Giants,Lucknow,8,6,7,197,43.148637,0.9216589861751152,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,52,17,5,173,15.236554524980507,1.4496487206164133,1
Lucknow Super Giants,Rajasthan Royals,Jaipur,130,87,7,174,55.704666833333334,1.4496487206164133,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,124,114,10,150,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,123,86,8,172,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,33,4,3,184,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,90,91,9,150,15.236554524980507,1.0495932826029915,1
Kolkata Knight Riders,Royal Challengers Bangalore,Sharjah,60,51,7,140,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,80,61,7,145,15.236554524980507,1.4496487206164133,0
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,79,57,7,164,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Royal Challengers Bangalore,Centurion,23,40,8,108,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Kolkata Knight Riders,Port Elizabeth,101,78,8,155,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,47,102,10,69,41.095718984375,1.1362201742204265,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,167,47,3,223,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,86,65,10,140,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Royal Challengers Bangalore,Ranchi,36,31,7,117,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kings XI Punjab,Indore,125,88,10,199,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Kings XI Punjab,Mumbai,107,82,8,203,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Mumbai,47,40,4,145,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Kolkata Knight Riders,Mumbai,105,85,8,151,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Kolkata Knight Riders,Kolkata,136,90,8,155,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Punjab Kings,Ahmedabad,229,119,10,233,15.236554524980507,1.0894941634241244,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,15,0,1,121,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,116,104,9,139,15.236554524980507,1.2403396622459688,1
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,15,8,6,140,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,118,78,7,158,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Mumbai Indians,Bangalore,161,60,8,210,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Deccan Chargers,Kimberley,49,26,5,169,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,44,57,10,115,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Rajasthan Royals,Navi Mumbai,58,34,9,162,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,74,27,4,185,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Kings XI Punjab,Chennai,21,4,5,146,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,121,100,9,143,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,34,37,7,118,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Chennai Super Kings,Durban,76,55,8,166,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Abu Dhabi,130,89,10,167,30.874925603305783,1.1362201742204265,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,13,19,7,147,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kings XI Punjab,Mumbai,75,52,8,164,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Chennai Super Kings,Chennai,63,22,6,177,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Rajasthan Royals,Jaipur,123,56,9,215,41.095718984375,1.4496487206164133,0
Chennai Super Kings,Gujarat Titans,Ahmedabad,120,64,7,197,15.236554524980507,1.2340600575894694,1
Sunrisers Hyderabad,Chennai Super Kings,Ranchi,65,41,9,186,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Lucknow Super Giants,Pune,81,91,8,102,15.236554524980507,1.0880077369439072,1
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,116,49,6,208,15.236554524980507,1.4496487206164133,1
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow,223,116,10,228,15.236554524980507,1.0522623640827782,1
Kings XI Punjab,Mumbai Indians,Mumbai,19,6,6,165,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,156,109,8,158,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,84,38,6,184,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,72,23,6,194,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Delhi Daredevils,Mumbai,64,34,6,153,15.236554524980507,1.4496487206164133,0
Kochi Tuskers Kerala,Deccan Chargers,Kochi,109,90,4,130,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,179,108,10,201,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,77,39,5,176,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Pune Warriors,Bangalore,128,64,8,183,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Gujarat Lions,Rajkot,160,107,10,184,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,133,91,9,172,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Punjab Kings,Mumbai,167,91,9,202,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,160,102,9,176,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Mumbai Indians,Mumbai,12,22,2,122,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Rajasthan Royals,Jaipur,143,93,10,171,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Mumbai Indians,Abu Dhabi,102,87,9,160,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Rajasthan Royals,Mumbai,169,112,10,178,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Mumbai Indians,Cuttack,28,23,8,143,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Kings XI Punjab,Delhi,119,105,9,141,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,71,87,10,133,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Mumbai Indians,Chennai,96,71,7,140,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Delhi Daredevils,Kolkata,96,94,9,129,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Mumbai,100,66,8,159,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Chennai Super Kings,Delhi,65,27,5,193,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,50,45,8,167,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,129,58,5,201,43.577639999999995,1.4496487206164133,1
Mumbai Indians,Punjab Kings,Abu Dhabi,113,89,8,138,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Chennai Super Kings,Johannesburg,95,65,7,164,15.236554524980507,1.4496487206164133,1
Punjab Kings,Gujarat Titans,Navi Mumbai,124,98,9,144,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,104,69,5,184,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Mumbai Indians,Mumbai,146,91,10,196,15.236554524980507,1.4496487206164133,1
Pune Warriors,Kochi Tuskers Kerala,Mumbai,138,113,10,149,15.236554524980507,1.4496487206164133,0
Gujarat Lions,Royal Challengers Bangalore,Rajkot,5,0,4,193,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,159,104,9,178,15.236554524980507,1.1398176291793314,1
Lucknow Super Giants,Mumbai Indians,Chennai,15,49,5,102,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Kolkata Knight Riders,Delhi,22,6,7,196,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Chennai Super Kings,Chennai,167,78,8,223,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,56,54,9,145,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Lucknow Super Giants,Jaipur,143,108,10,155,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Rising Pune Supergiant,Mumbai,126,105,10,143,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Rajasthan Royals,Chennai,93,76,10,148,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,12,41,10,115,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Delhi Capitals,Ahmedabad,75,49,6,131,15.236554524980507,1.238475299298197,0
Sunrisers Hyderabad,Delhi Capitals,Chennai,123,89,9,168,15.236554524980507,1.4496487206164133,0
Punjab Kings,Rajasthan Royals,Dubai,34,21,8,184,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Abu Dhabi,20,13,5,138,15.236554524980507,5.0,1
Delhi Capitals,Sunrisers Hyderabad,Abu Dhabi,124,91,9,148,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Punjab Kings,Ahmedabad,46,38,8,168,15.236554524980507,1.2121212121212122,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,110,80,9,141,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kings XI Punjab,Centurion,96,91,9,120,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Mumbai Indians,Jaipur,212,115,9,218,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Punjab Kings,Mumbai,36,73,9,120,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Delhi Daredevils,Delhi,35,77,10,96,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Kings XI Punjab,Abu Dhabi,75,54,9,186,15.236554524980507,1.4496487206164133,1
Punjab Kings,Kolkata Knight Riders,Kolkata,162,75,9,262,15.236554524980507,1.0495932826029915,1
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,107,80,7,133,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Kings XI Punjab,Jaipur,86,57,7,167,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Rising Pune Supergiants,Pune,105,83,8,163,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Visakhapatnam,9,19,3,127,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rising Pune Supergiants,Chandigarh,7,8,6,154,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Chennai Super Kings,Delhi,166,84,10,219,15.236554524980507,1.4496487206164133,1
Pune Warriors,Sunrisers Hyderabad,Hyderabad,101,107,10,105,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,114,75,10,188,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,35,8,2,141,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Delhi Daredevils,Delhi,3,3,4,183,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Royal Challengers Bengaluru,Hyderabad,66,20,3,207,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Rajasthan Royals,Jaipur,84,57,8,174,15.236554524980507,1.2403396622459688,1
Royal Challengers Bangalore,Delhi Daredevils,Delhi,151,114,9,161,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Delhi Daredevils,Delhi,63,65,9,129,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,70,69,8,115,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,121,55,7,190,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,82,112,10,88,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Kolkata Knight Riders,Kolkata,51,27,5,155,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Royal Challengers Bangalore,Port Elizabeth,100,76,8,151,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Lucknow Super Giants,Kolkata,113,55,8,235,15.236554524980507,1.2121212121212122,1
