batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target_score,striker_rating,bowler_rating,result
Delhi Capitals,Punjab Kings,Mumbai,56,91,10,120,15.236554524980507,1.0894941634241244,1
Kings XI Punjab,Rajasthan Royals,Chandigarh,47,32,6,135,15.236554524980507,1.4496487206164133,0
Lucknow Super Giants,Gujarat Titans,Lucknow,89,88,10,136,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Mumbai Indians,Chennai,119,106,9,139,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,94,83,10,160,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kolkata Knight Riders,Abu Dhabi,85,119,10,85,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,110,70,7,158,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Delhi Daredevils,Chandigarh,108,85,8,159,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Delhi Capitals,Delhi,47,54,7,151,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,106,86,8,131,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Sunrisers Hyderabad,Pune,69,51,10,181,15.236554524980507,1.4001244555071561,1
Rajasthan Royals,Chennai Super Kings,Chennai,132,93,10,158,15.236554524980507,1.4496487206164133,0
Rising Pune Supergiants,Delhi Daredevils,Visakhapatnam,76,74,9,122,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,138,75,10,204,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Pune Warriors,Ranchi,26,14,5,164,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,177,108,10,182,15.236554524980507,1.2403396622459688,1
Mumbai Indians,Pune Warriors,Mumbai,70,79,7,102,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Sunrisers Hyderabad,Raipur,32,22,6,158,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Rajasthan Royals,Chennai,136,82,9,202,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,34,58,3,121,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Kings XI Punjab,Cuttack,183,118,10,188,15.236554524980507,1.2403396622459688,1
Gujarat Lions,Rising Pune Supergiants,Rajkot,37,35,8,165,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Kings XI Punjab,Mumbai,145,79,9,198,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,143,65,6,220,53.52351834375001,1.4496487206164133,1
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,88,97,10,115,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,78,33,7,209,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,99,86,9,125,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,6,5,6,141,57.97507364814815,1.4496487206164133,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,23,16,6,169,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Rajasthan Royals,Jaipur,116,78,10,164,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Rising Pune Supergiant,Mumbai,95,76,7,143,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Chennai Super Kings,Mumbai,148,92,9,189,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,54,51,7,161,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,45,43,8,162,15.236554524980507,1.4496487206164133,1
Punjab Kings,Royal Challengers Bangalore,Mumbai,180,99,10,209,15.236554524980507,1.1362201742204265,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,78,64,9,154,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Mumbai Indians,Mumbai,58,32,7,177,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Mumbai Indians,Jaipur,72,17,3,175,15.236554524980507,1.4496487206164133,1
Punjab Kings,Gujarat Titans,Ahmedabad,50,25,5,200,15.236554524980507,1.4001244555071561,1
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,66,41,4,165,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Deccan Chargers,Bangalore,76,35,8,182,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,86,60,9,184,53.52351834375001,1.4496487206164133,1
Deccan Chargers,Kings XI Punjab,Hyderabad,145,118,10,146,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Pune Warriors,Pune,6,25,7,126,15.236554524980507,1.4496487206164133,0
Deccan Chargers,Delhi Daredevils,Durban,11,10,5,162,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Pune Warriors,Pune,54,46,7,117,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Mumbai Indians,Mumbai,104,66,9,165,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,107,100,9,128,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Punjab Kings,Mohali,105,79,10,148,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Delhi Daredevils,Delhi,162,96,10,191,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Mumbai Indians,Cuttack,68,54,9,143,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,68,7,4,225,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Rajasthan Royals,Jaipur,82,98,8,93,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,20,3,6,191,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bengaluru,Mumbai,24,36,8,200,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rajasthan Royals,Chandigarh,122,99,10,153,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Chennai,52,41,4,143,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Chennai Super Kings,Chennai,170,115,10,182,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Mumbai Indians,Mumbai,138,72,9,206,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,129,84,8,175,15.236554524980507,1.4496487206164133,0
Rising Pune Supergiant,Mumbai Indians,Pune,92,57,8,185,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Deccan Chargers,Cape Town,162,91,8,185,15.236554524980507,1.4496487206164133,0
Pune Warriors,Rajasthan Royals,Pune,87,86,9,149,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,40,39,9,172,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Gujarat Titans,Ahmedabad,160,79,8,218,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Mumbai Indians,Jaipur,18,2,5,146,15.236554524980507,1.4496487206164133,1
Pune Warriors,Rajasthan Royals,Pune,7,5,7,149,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,78,18,3,192,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,158,103,10,186,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,45,72,4,89,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,16,3,5,159,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Pune Warriors,Ranchi,91,60,7,164,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Chennai Super Kings,Chennai,72,27,8,247,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Chennai Super Kings,Delhi,16,0,4,219,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Mumbai Indians,Mumbai,53,27,6,158,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Mumbai Indians,Jaipur,93,63,7,146,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Rajasthan Royals,Abu Dhabi,145,102,10,164,15.236554524980507,1.4496487206164133,0
Lucknow Super Giants,Mumbai Indians,Lucknow,108,90,9,146,55.704666833333334,1.4496487206164133,1
Rajasthan Royals,Punjab Kings,Mohali,114,91,10,148,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Rajasthan Royals,Kolkata,112,73,10,170,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,94,77,10,167,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Chennai Super Kings,East London,135,86,7,179,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,102,25,6,191,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,15,0,4,168,15.236554524980507,1.2403396622459688,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,121,76,10,159,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Chennai Super Kings,Chennai,117,75,7,169,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Delhi Capitals,Delhi,169,88,9,222,15.236554524980507,0.9609224855861628,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,134,119,10,135,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Chennai Super Kings,East London,179,116,9,179,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,16,44,6,131,15.236554524980507,1.4496487206164133,0
Lucknow Super Giants,Delhi Capitals,Mumbai,102,82,10,150,15.236554524980507,1.4496487206164133,1
Lucknow Super Giants,Delhi Capitals,Mumbai,137,104,10,150,55.704666833333334,1.4496487206164133,1
Kings XI Punjab,Rising Pune Supergiant,Indore,36,22,6,165,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Chennai Super Kings,Chennai,14,0,2,151,15.236554524980507,1.4496487206164133,1
Pune Warriors,Kolkata Knight Riders,Pune,98,49,6,153,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,19,28,8,120,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Gujarat Lions,Mumbai,171,113,9,177,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Royal Challengers Bangalore,Bengaluru,198,117,10,199,15.236554524980507,1.1362201742204265,1
Royal Challengers Bangalore,Deccan Chargers,Cape Town,174,113,9,185,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,82,33,6,208,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Mumbai Indians,Pune,130,101,10,152,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,86,47,7,166,15.236554524980507,1.4496487206164133,1
Pune Warriors,Royal Challengers Bangalore,Bangalore,32,32,5,134,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,173,66,6,233,15.236554524980507,1.4496487206164133,1
Punjab Kings,Kolkata Knight Riders,Dubai,47,30,8,166,55.704666833333334,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Bengaluru,114,80,7,154,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Royal Challengers Bangalore,Delhi,152,119,10,152,15.236554524980507,1.0880077369439072,0
Punjab Kings,Gujarat Titans,Ahmedabad,64,29,5,200,57.60461666666667,1.4496487206164133,1
Delhi Capitals,Lucknow Super Giants,Lucknow,142,118,10,144,15.236554524980507,1.4496487206164133,1
Royal Challengers Bengaluru,Sunrisers Hyderabad,Bengaluru,181,80,9,263,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Kings XI Punjab,Chennai,31,14,4,150,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Deccan Chargers,Johannesburg,124,98,10,144,15.236554524980507,1.4496487206164133,1
Lucknow Super Giants,Gujarat Titans,Ahmedabad,189,100,10,228,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,1,0,5,138,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Delhi Daredevils,Delhi,38,0,2,191,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,7,1,5,138,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,141,119,10,142,15.236554524980507,1.2403396622459688,1
Kings XI Punjab,Delhi Daredevils,Delhi,149,84,7,189,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,81,48,6,172,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Rajasthan Royals,Jaipur,116,100,9,145,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,65,62,6,161,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Chennai Super Kings,Dubai,154,112,10,157,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Kolkata Knight Riders,Pune,82,68,8,145,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,105,44,6,178,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,101,56,6,185,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Mumbai Indians,New Chandigarh,142,79,8,209,12.251519999999998,1.4496487206164133,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,37,23,7,161,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Sunrisers Hyderabad,Raipur,82,48,9,162,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,16,0,5,174,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rising Pune Supergiant,Indore,24,20,6,165,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Gujarat Titans,Pune,13,9,1,158,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,50,10,3,180,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,119,88,9,162,15.236554524980507,1.4496487206164133,1
Punjab Kings,Lucknow Super Giants,Lucknow,30,21,4,160,15.236554524980507,1.0880077369439072,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,51,53,8,171,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Punjab Kings,Mumbai,39,79,10,120,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Sunrisers Hyderabad,Delhi,50,29,6,189,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Rajasthan Royals,Chandigarh,130,102,10,153,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Rising Pune Supergiant,Bangalore,100,66,8,162,15.236554524980507,1.4496487206164133,1
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow,23,10,6,228,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,167,93,9,197,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Sunrisers Hyderabad,Hyderabad,162,108,9,177,15.236554524980507,1.1362201742204265,0
Delhi Daredevils,Kolkata Knight Riders,Raipur,47,37,8,138,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Rajasthan Royals,Ahmedabad,125,111,10,134,15.236554524980507,1.4496487206164133,0
Rising Pune Supergiant,Delhi Daredevils,Delhi,95,63,8,169,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Kolkata Knight Riders,Kolkata,83,92,7,111,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Delhi Daredevils,Visakhapatnam,37,15,4,168,15.236554524980507,1.4496487206164133,0
Royal Challengers Bengaluru,Sunrisers Hyderabad,Lucknow,11,13,4,190,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,143,110,10,150,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Punjab Kings,Mumbai,142,119,10,142,15.236554524980507,1.0894941634241244,1
Delhi Capitals,Mumbai Indians,Delhi,70,53,8,194,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,48,25,7,156,15.236554524980507,1.4496487206164133,0
Lucknow Super Giants,Delhi Capitals,Mumbai,142,107,10,150,55.704666833333334,1.4496487206164133,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,79,24,4,220,4.752612625,1.4496487206164133,1
Kolkata Knight Riders,Sunrisers Hyderabad,Visakhapatnam,28,70,8,102,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,190,102,8,199,15.236554524980507,1.2403396622459688,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Bangalore,52,83,9,126,15.236554524980507,1.4496487206164133,0
Sunrisers Hyderabad,Delhi Daredevils,Delhi,52,46,7,115,15.236554524980507,1.4496487206164133,0
Kings XI Punjab,Rajasthan Royals,Jaipur,99,67,7,144,55.704666833333334,1.4496487206164133,0
Delhi Capitals,Kolkata Knight Riders,Visakhapatnam,146,108,10,167,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Rajasthan Royals,Kolkata,118,66,8,192,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Royal Challengers Bangalore,Indore,51,54,8,151,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,177,117,10,178,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rising Pune Supergiants,Chandigarh,115,89,10,154,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Chennai Super Kings,Jaipur,56,32,6,177,15.236554524980507,1.4496487206164133,0
Kochi Tuskers Kerala,Delhi Daredevils,Kochi,64,26,4,158,15.236554524980507,1.4496487206164133,0
Gujarat Lions,Royal Challengers Bangalore,Bangalore,5,5,2,105,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Mumbai Indians,Cape Town,90,73,8,147,15.236554524980507,1.4496487206164133,1
Delhi Capitals,Chennai Super Kings,Dubai,35,24,4,137,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Chennai Super Kings,Bangalore,94,50,6,188,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,150,107,10,169,53.52351834375001,1.4496487206164133,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,119,50,5,176,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Chennai Super Kings,Mumbai,89,82,10,132,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,28,35,7,128,15.236554524980507,1.4496487206164133,1
Sunrisers Hyderabad,Rajasthan Royals,Jaipur,68,26,8,215,15.236554524980507,1.4496487206164133,0
Chennai Super Kings,Rajasthan Royals,Jaipur,140,93,7,156,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Delhi Daredevils,Durban,115,86,8,162,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Chennai Super Kings,Mumbai,46,65,6,98,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Pune Warriors,Pune,51,42,7,117,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Mumbai Indians,Chennai,119,88,9,160,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Mumbai Indians,Jaipur,147,101,9,168,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,133,104,9,161,15.236554524980507,1.4496487206164133,1
Lucknow Super Giants,Delhi Capitals,Delhi,103,43,4,209,15.236554524980507,1.238475299298197,1
Kolkata Knight Riders,Kings XI Punjab,Durban,102,83,10,159,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Royal Challengers Bangalore,Chennai,125,112,10,143,15.236554524980507,1.4496487206164133,1
Punjab Kings,Rajasthan Royals,Mohali,55,43,6,156,15.236554524980507,1.4496487206164133,1
Punjab Kings,Rajasthan Royals,Guwahati,44,32,6,146,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,23,3,4,209,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,46,38,9,154,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Chennai Super Kings,Mumbai,110,103,10,134,15.236554524980507,0.6230529595015576,0
Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,125,105,9,141,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Mumbai Indians,Delhi,20,12,5,180,15.236554524980507,1.4496487206164133,1
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,37,9,5,243,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rajasthan Royals,Durban,63,48,5,134,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Rajasthan Royals,Indore,146,106,10,156,55.704666833333334,1.4496487206164133,1
Rajasthan Royals,Pune Warriors,Pune,23,42,8,126,15.236554524980507,1.4496487206164133,0
Royal Challengers Bangalore,Rising Pune Supergiant,Bangalore,47,14,5,162,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,69,51,7,212,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Royal Challengers Bangalore,Delhi,52,22,6,180,15.236554524980507,1.4496487206164133,1
