,id,city,gender,pom,toss_decision,winner,team_type,won_by
873,873,Pune,male,CL White,bat,Deccan Chargers,club,{'runs': 18}
874,874,Delhi,male,V Sehwag,field,Mumbai Indians,club,{'runs': 37}
875,875,Chennai,male,Mandeep Singh,bat,Kings XI Punjab,club,{'runs': 7}
876,876,Kolkata,male,G Gambhir,bat,Kolkata Knight Riders,club,{'runs': 47}
877,877,Delhi,male,V Sehwag,bat,Delhi Daredevils,club,{'runs': 1}
878,878,Mumbai,male,DW Steyn,field,Mumbai Indians,club,{'wickets': 5}
879,879,Chennai,male,G Gambhir,bat,Chennai Super Kings,club,{'wickets': 5}
880,880,Cuttack,male,KC Sangakkara,bat,Deccan Chargers,club,{'runs': 13}
881,881,Jaipur,male,P Negi,bat,Rajasthan Royals,club,{'wickets': 6}
882,882,Bangalore,male,Azhar Mahmood,field,Kings XI Punjab,club,{'wickets': 4}
883,883,Pune,male,SL Malinga,bat,Mumbai Indians,club,{'runs': 1}
884,884,Chennai,male,SK Raina,bat,Chennai Super Kings,club,{'runs': 10}
885,885,Kolkata,male,SP Narine,bat,Kolkata Knight Riders,club,{'runs': 7}
886,886,Chandigarh,male,SR Watson,bat,Rajasthan Royals,club,{'runs': 43}
887,887,Mumbai,male,DR Smith,field,Mumbai Indians,club,{'wickets': 2}
888,888,Bangalore,male,AB de Villiers,field,Royal Challengers Bangalore,club,{'wickets': 5}
889,889,Delhi,male,JH Kallis,bat,Delhi Daredevils,club,{'wickets': 6}
890,890,Pune,male,SR Watson,bat,Pune Warriors,club,{'wickets': 7}
891,891,Hyderabad,male,Mandeep Singh,field,Deccan Chargers,club,{'runs': 25}
892,892,Mumbai,male,CH Gayle,field,Royal Challengers Bangalore,club,{'wickets': 9}
893,893,Jaipur,male,BW Hilfenhaus,field,Chennai Super Kings,club,{'wickets': 4}
894,894,Pune,male,CH Gayle,field,Pune Warriors,club,{'runs': 35}
895,895,Kolkata,male,RG Sharma,bat,Mumbai Indians,club,{'runs': 27}
896,896,Chennai,male,BW Hilfenhaus,field,Chennai Super Kings,club,{'wickets': 9}
897,897,Jaipur,male,A Chandila,bat,Rajasthan Royals,club,{'runs': 45}
898,898,Chandigarh,male,DJ Hussey,bat,Deccan Chargers,club,{'wickets': 4}
899,899,Bangalore,male,AT Rayudu,field,Mumbai Indians,club,{'wickets': 5}
900,900,Kolkata,male,MEK Hussey,field,Chennai Super Kings,club,{'wickets': 5}
901,901,Delhi,male,UT Yadav,bat,Kings XI Punjab,club,{'wickets': 5}
902,902,Mumbai,male,SP Narine,field,Mumbai Indians,club,{'runs': 32}
903,903,Dharamsala,male,AC Gilchrist,field,Kings XI Punjab,club,{'wickets': 6}
904,904,Delhi,male,CH Gayle,field,Delhi Daredevils,club,{'runs': 21}
905,905,Hyderabad,male,DW Steyn,bat,Rajasthan Royals,club,{'wickets': 5}
906,906,Dharamsala,male,UT Yadav,field,Delhi Daredevils,club,{'wickets': 6}
907,907,Pune,male,Shakib Al Hasan,bat,Kolkata Knight Riders,club,{'runs': 34}
908,908,Hyderabad,male,DW Steyn,field,Royal Challengers Bangalore,club,{'runs': 9}
909,909,Jaipur,male,DR Smith,bat,Rajasthan Royals,club,{'wickets': 10}
910,910,Pune,male,YK Pathan,bat,Kolkata Knight Riders,club,{'runs': 18}
911,911,Bangalore,male,MS Dhoni,field,Mumbai Indians,club,{'runs': 38}
912,912,Chennai,male,M Vijay,field,Delhi Daredevils,club,{'runs': 86}
913,913,Chennai,male,MS Bisla,bat,Chennai Super Kings,club,{'wickets': 5}
914,914,Kolkata,male,SP Narine,field,Kolkata Knight Riders,club,{'wickets': 6}
915,915,Bangalore,male,CH Gayle,field,Mumbai Indians,club,{'runs': 2}
916,916,Hyderabad,male,A Mishra,field,Pune Warriors,club,{'runs': 22}
917,917,Delhi,male,R Dravid,bat,Rajasthan Royals,club,{'runs': 5}
918,918,Chennai,male,KA Pollard,bat,Mumbai Indians,club,{'runs': 9}
919,919,Pune,male,M Vohra,bat,Pune Warriors,club,{'wickets': 8}
920,920,Hyderabad,male,GH Vihari,bat,Royal Challengers Bangalore,club,
921,921,Jaipur,male,SK Trivedi,field,Kolkata Knight Riders,club,{'runs': 19}
922,922,Mumbai,male,KD Karthik,bat,Mumbai Indians,club,{'runs': 44}
923,923,Chandigarh,male,MEK Hussey,field,Chennai Super Kings,club,{'wickets': 10}
924,924,Bangalore,male,CH Gayle,field,Royal Challengers Bangalore,club,{'wickets': 8}
925,925,Pune,male,AJ Finch,bat,Rajasthan Royals,club,{'wickets': 7}
926,926,Delhi,male,A Mishra,bat,Delhi Daredevils,club,{'wickets': 3}
927,927,Mumbai,male,RG Sharma,bat,Mumbai Indians,club,{'runs': 41}
928,928,Chennai,male,RA Jadeja,field,Chennai Super Kings,club,{'wickets': 4}
929,929,Kolkata,male,G Gambhir,bat,Kolkata Knight Riders,club,{'runs': 48}
930,930,Jaipur,male,JP Faulkner,field,Rajasthan Royals,club,{'wickets': 6}
931,931,Chennai,male,SPD Smith,bat,Pune Warriors,club,{'runs': 24}
932,932,Chandigarh,male,MS Gony,field,Kolkata Knight Riders,club,{'runs': 4}
933,933,Bangalore,male,V Kohli,field,Royal Challengers Bangalore,club,
934,934,Pune,male,A Mishra,field,Pune Warriors,club,{'runs': 11}
935,935,Jaipur,male,AM Rahane,bat,Rajasthan Royals,club,{'runs': 87}
936,936,Delhi,male,MEK Hussey,bat,Chennai Super Kings,club,{'runs': 86}
937,937,Hyderabad,male,GH Vihari,bat,Kings XI Punjab,club,{'wickets': 5}
938,938,Kolkata,male,RA Jadeja,bat,Kolkata Knight Riders,club,{'wickets': 4}
939,939,Bangalore,male,R Vinay Kumar,field,Royal Challengers Bangalore,club,{'wickets': 7}
940,940,Delhi,male,V Sehwag,bat,Mumbai Indians,club,{'wickets': 9}
941,941,Chandigarh,male,DA Miller,field,Kings XI Punjab,club,{'wickets': 7}
942,942,Chennai,male,MEK Hussey,bat,Rajasthan Royals,club,{'wickets': 5}
943,943,Bangalore,male,CH Gayle,field,Pune Warriors,club,{'runs': 130}
944,944,Dharamsala,male,DA Miller,field,Delhi Daredevils,club,{'runs': 7}
945,945,Kolkata,male,DR Smith,bat,Kolkata Knight Riders,club,{'wickets': 5}
946,946,Chennai,male,MS Dhoni,bat,Sunrisers Hyderabad,club,{'wickets': 5}
947,947,Kolkata,male,JH Kallis,bat,Kings XI Punjab,club,{'wickets': 6}
948,948,Jaipur,male,JP Faulkner,bat,Sunrisers Hyderabad,club,{'wickets': 8}
949,949,Mumbai,male,DR Smith,bat,Mumbai Indians,club,{'runs': 58}
950,950,Chennai,male,MEK Hussey,field,Kolkata Knight Riders,club,{'runs': 14}
951,951,Raipur,male,DA Warner,field,Pune Warriors,club,{'runs': 15}
952,952,Jaipur,male,SV Samson,field,Rajasthan Royals,club,{'wickets': 4}
953,953,Mumbai,male,RG Sharma,bat,Mumbai Indians,club,{'runs': 4}
954,954,Pune,male,MS Dhoni,bat,Chennai Super Kings,club,{'runs': 37}
955,955,Hyderabad,male,I Sharma,bat,Mumbai Indians,club,{'wickets': 7}
956,956,Raipur,male,DA Warner,bat,Kolkata Knight Riders,club,{'wickets': 7}
957,957,Chennai,male,SK Raina,bat,Chennai Super Kings,club,{'runs': 15}
958,958,Pune,male,AB de Villiers,bat,Royal Challengers Bangalore,club,{'runs': 17}
959,959,Kolkata,male,YK Pathan,bat,Rajasthan Royals,club,{'wickets': 8}
960,960,Hyderabad,male,DJG Sammy,bat,Delhi Daredevils,club,{'wickets': 6}
961,961,Bangalore,male,AC Gilchrist,field,Kings XI Punjab,club,{'wickets': 7}
962,962,Mumbai,male,MG Johnson,bat,Mumbai Indians,club,{'runs': 60}
963,963,Jaipur,male,AM Rahane,bat,Pune Warriors,club,{'wickets': 5}
964,964,Bangalore,male,V Kohli,bat,Sunrisers Hyderabad,club,{'wickets': 7}
965,965,Jaipur,male,AM Rahane,bat,Delhi Daredevils,club,{'wickets': 9}
966,966,Mumbai,male,SR Tendulkar,bat,Mumbai Indians,club,{'runs': 65}
967,967,Hyderabad,male,SK Raina,field,Sunrisers Hyderabad,club,{'runs': 77}
968,968,Chandigarh,male,KK Cooper,field,Rajasthan Royals,club,{'wickets': 8}
969,969,Pune,male,G Gambhir,bat,Kolkata Knight Riders,club,{'runs': 46}
970,970,Delhi,male,JD Unadkat,field,Delhi Daredevils,club,{'runs': 4}
971,971,Pune,male,MG Johnson,bat,Pune Warriors,club,{'wickets': 5}
972,972,Chandigarh,male,PA Patel,field,Kings XI Punjab,club,{'runs': 30}
973,973,Ranchi,male,JH Kallis,field,Kolkata Knight Riders,club,{'wickets': 5}
974,974,Jaipur,male,SR Watson,field,Rajasthan Royals,club,{'wickets': 5}
975,975,Delhi,male,Harmeet Singh,field,Kings XI Punjab,club,{'wickets': 5}
976,976,Mumbai,male,KA Pollard,bat,Sunrisers Hyderabad,club,{'wickets': 7}
977,977,Ranchi,male,MK Pandey,field,Kolkata Knight Riders,club,{'runs': 7}
978,978,Chennai,male,MS Dhoni,bat,Chennai Super Kings,club,{'runs': 33}
979,979,Mumbai,male,AP Tare,field,Rajasthan Royals,club,{'runs': 14}
980,980,Chandigarh,male,DA Miller,field,Kings XI Punjab,club,{'wickets': 6}
981,981,Hyderabad,male,A Mishra,bat,Sunrisers Hyderabad,club,{'runs': 23}
982,982,Dharamsala,male,Azhar Mahmood,field,Mumbai Indians,club,{'runs': 50}
983,983,Pune,male,LJ Wright,bat,Pune Warriors,club,{'runs': 38}
984,984,Bangalore,male,V Kohli,field,Chennai Super Kings,club,{'runs': 24}
985,985,Hyderabad,male,PA Patel,bat,Kolkata Knight Riders,club,{'wickets': 5}
986,986,Delhi,male,MEK Hussey,bat,Chennai Super Kings,club,{'runs': 48}
987,987,Delhi,male,BJ Hodge,bat,Sunrisers Hyderabad,club,{'wickets': 4}
988,988,Kolkata,male,Harbhajan Singh,bat,Rajasthan Royals,club,{'wickets': 4}
989,989,Kolkata,male,KA Pollard,bat,Mumbai Indians,club,{'runs': 23}
990,990,Abu Dhabi,male,JH Kallis,bat,Kolkata Knight Riders,club,{'runs': 41}
991,991,,male,YS Chahal,field,Royal Challengers Bangalore,club,{'wickets': 8}
992,992,Abu Dhabi,male,GJ Maxwell,bat,Chennai Super Kings,club,{'wickets': 6}
